San Francisco, CA	Berkeley, CA	50
San Francisco, CA	Artesia, CA	2
San Francisco, CA	Cleveland, OH	4
San Francisco, CA	New York, NY	104
San Francisco, CA	Milwaukee, WI	4
San Francisco, CA	Seattle, WA	34
San Francisco, CA	Northampton, MA	12
San Francisco, CA	Princeton, WI	12
San Francisco, CA	Westlake Village, CA	14
San Francisco, CA	Chicago, IL	10
San Francisco, CA	Boston, MA	6
San Francisco, CA	Kansas City, MO	6
San Francisco, CA	Milwaukie, OR	46
San Francisco, CA	Rockville Centre, NY	2
San Francisco, CA	Lakeport, CA	2
San Francisco, CA	Los Angeles, CA	36
San Francisco, CA	La Jolla, CA	18
San Francisco, CA	San Diego, CA	20
San Francisco, CA	Calabasas, CA	2
San Francisco, CA	Hawthorne, CA	2
San Francisco, CA	Urbana, IL	4
San Francisco, CA	Scottsdale, AZ	2
San Francisco, CA	Neshannock, PA	2
San Francisco, CA	Forestville, CA	6
San Francisco, CA	Minneapolis, MN	4
San Francisco, CA	Auburn, CA	10
San Francisco, CA	Montreal, QC	6
San Francisco, CA	Greenwich, CT	4
San Francisco, CA	Kansas City, KS	2
San Francisco, CA	Mexico City, DF	12
San Francisco, CA	Thousand Oaks, CA	2
San Francisco, CA	Santa Rosa, CA	2
San Francisco, CA	Detroit, MI	2
San Francisco, CA	Philadelphia, PA	6
San Francisco, CA	Arlington, VA	2
San Francisco, CA	Anderson, IN	2
San Francisco, CA	Burbank, CA	2
San Francisco, CA	Tamarac, FL	2
San Francisco, CA	Park Forest, IL	4
San Francisco, CA	Fullerton, CA	4
San Francisco, CA	Hollywood, CA	2
San Francisco, CA	CA, CA	4
San Francisco, CA	Miamisburg, OH	2
San Francisco, CA	Toronto, ON	4
San Francisco, CA	Mineola, NY	2
San Francisco, CA	Kitchener, ON	2
San Francisco, CA	Evanston, IL	2
San Francisco, CA	Newbury Park, CA	2
San Francisco, CA	Stamford, CT	2
San Francisco, CA	Marietta, GA	4
San Francisco, CA	Deerfield, IL	2
San Francisco, CA	Rantoul, IL	2
San Francisco, CA	Orange, CA	4
San Francisco, CA	Mt Laurel, NJ	2
San Francisco, CA	San Jose, CA	4
San Francisco, CA	North Babylon, NY	2
San Francisco, CA	Virginia Beach, VA	2
San Francisco, CA	Buffalo, NY	2
San Francisco, CA	El Sobrante, CA	2
San Francisco, CA	Oakland, CA	2
San Francisco, CA	Irvine, CA	2
San Francisco, CA	Mérida, YU	2
San Francisco, CA	Waco, TX	2
San Francisco, CA	Racine, WI	2
San Francisco, CA	Louisville, KY	2
San Francisco, CA	Baltimore, MD	2
San Francisco, CA	Lanham, MD	2
San Francisco, CA	Rocklin, CA	2
San Francisco, CA	Lakewood, CO	2
San Francisco, CA	Ottawa, ON	2
San Francisco, CA	Long Beach, CA	2
San Francisco, CA	Cincinnati, OH	2
San Francisco, CA	Portland, OR	6
San Francisco, CA	Dripping Springs, TX	2
