LANG,RECORD #,245abnp,260a,264a,260b,264b,260c,264c,008 Country,SUBJECT,AUTHOR,ADDITIONAL AUTHOR,LIBRARY HAS
eng,b125370519,Bumperhead /,,"[Montréal, Québec] :;",,"Drawn & Quarterly,;",,"2014.;""©2014""",quc,"Teenage boys Comic books, strips, etc.;""Hispanic American families Comic books, strips, etc."";""Nineteen seventies Comic books, strips, etc."";""Comic books, strips, etc United States."";""Comic books, strips, etc. fast (OCoLC)fst00869145"";""Hispanic American families. fast (OCoLC)fst00957383"";""Nineteen seventies. fast (OCoLC)fst01037812"";""Teenage boys. fast (OCoLC)fst01145373"";""United States. fast (OCoLC)fst01204155"";""Comic books, strips, etc. fast (OCoLC)fst01423722"";""Graphic novels. fast (OCoLC)fst01726630"";""Graphic novels. lcgft""","Hernandez, Gilbert, artist, author.",,
eng,b125642453,Fire!! the Zora Neale Hurston story /,,"Montreal, Québec :;",,"Drawn & Quarterly,;",,"2017.;""©2017""",quc,"Hurston, Zora Neale Comic books, strips, etc.;""Hurston, Zora Neale. fast (OCoLC)fst00040307"";""African American women novelists Biography Comic books, strips, etc."";""African American women authors Biography Comic books, strips, etc."";""Women folklorists United States Biography Comic books, strips, etc."";""African American women authors. fast (OCoLC)fst00799477"";""African American women novelists. fast (OCoLC)fst00799510"";""Women folklorists. fast (OCoLC)fst01177689"";""United States. fast (OCoLC)fst01204155"";""Graphic novels. lcgft"";""Nonfiction comics. lcgft"";""Comic books, strips, etc. fast (OCoLC)fst01423722"";""Graphic novels. fast (OCoLC)fst01726630"";""Nonfiction comics. fast (OCoLC)fst01921721""","Bagge, Peter, author, illustrator.",,
eng,b125642507,Woman rebel : the Margaret Sanger story /,,[Montréal] :,,"Drawn & Quarterly,",,2013,quc,"Sanger, Margaret, 1879-1966.;""Sanger, Margaret, 1879-1966 fast (OCoLC)fst00006408"";""Sanger, Margaret, 1879-1966 Comic books, strips, etc. sears"";""1900-1999 fast"";""Women social reformers United States Biography Comic books, strips, etc."";""Birth control United States History 20th century Comic books, strips, etc."";""Women's rights United States History 20th century Comic books, strips, etc."";""Birth control. fast (OCoLC)fst00833148"";""Women social reformers. fast (OCoLC)fst01178540"";""Women's rights. fast (OCoLC)fst01178818"";""Women social reformers Biography. sears"";""Birth control Biography. sears"";""United States. fast (OCoLC)fst01204155"";""Historical comics. fast (OCoLC)fst01921682"";""Biographical comics. fast (OCoLC)fst01921595"";""Comic books, strips, etc. fast (OCoLC)fst01423722"";""History. fast (OCoLC)fst01411628"";""Graphic novels. lcgft"";""Historical comics. lcgft"";""Biographical comics. lcgft""","Bagge, Peter, author.",,
spa,b125693825,El chicano.,"México, D.F. :",,"EdiPres, S.A.,",,-1971,,mx,"Mexican Americans West (U.S.) Comic books, strips, etc.;""Mexican Americans. fast (OCoLC)fst01019072"";""United States, West. fast (OCoLC)fst01243255"";""Comic books, strips, etc. fast (OCoLC)fst01423722""",,,
eng,b125715286,Protoculture addicts : Special issue.,Montreal :,,"Protoculture,",,-1996,,quc,"Animated films Japan History and criticism Periodicals. http://id.loc.gov/authorities/subjects/sh99004613;""Japanese comic books, strips, etc. History and criticism Periodicals.""",,,
eng,b125736812,Becoming unbecoming /,,"Vancouver, BC, Canada :;",,"Arsenal Pulp Press,;",,"[2016];""©2016""",bcc,"Sutcliffe, Peter, 1946- Comic books, strips, etc. http://id.loc.gov/authorities/names/n81068484;""Serial murderers Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh95000651"";""Violence Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85143514"";""Sex crimes Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85120572"";""Autobiographical comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh2011002678"";""British comic books, strips, etc.""","Una, author, artist. http://id.loc.gov/authorities/names/nb2014007325",,
eng,b125739291,Death plate 2 /,,[Winnipeg] :,,"Sad Haus Press,",,2016,mbc,"New wave comic books, strips, etc.;""Canadian comic books, strips, etc."";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""","Reede, Dany, artist.",,
eng,b125785859,Mooncop /,,"[Montreal, Quebe?bec] :;;",,"Drawn & Quarterly,;;",,"2017.;""©2016"";""©2017""",quc,"Lunar bases Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85078851;""Police Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85104183"";""Space colonies Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85125921"";""Science fiction comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85118659"";""British comic books, strips, etc."";""Moon Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85087107"";""Moon Exploration Comic books, strips, etc. http://id.loc.gov/authorities/subjects/sh85087115""","Gauld, Tom, author, artist. http://id.loc.gov/authorities/names/nb2003080455",,
eng,b125785860,"Unproductive, now! /",,"[Montreal, Quebec] :",,"Helena Dangin,",,-2016,quc,"Alternative comic books, strips, etc.;""Canadian comic books, strips, etc."";""Zines. lcgft http://id.loc.gov/authorities/genreForms/gf2014026210""","Danghin, Helena, artist, author.",,
eng,b125797382,Over easy /,,"[Montréal, Québec] :;",,"Drawn & Quarterly,;",,"2014.;""©2014""",quc,"Women art students Comic books, strips, etc.;""Women food service employees Comic books, strips, etc."";""Restaurants Comic books, strips, etc."";""Restaurants. fast (OCoLC)fst01095907"";""Women art students. fast (OCoLC)fst01177152"";""Women food service employees. fast (OCoLC)fst01177690"";""Women art students Comic books, strips, etc. sears"";""Comics (Graphic works) fast (OCoLC)fst01921613"";""Comic books, strips, etc. fast (OCoLC)fst01423722"";""Graphic novels. fast (OCoLC)fst01726630"";""Graphic novels. gsafd"";""Comic books, strips, etc. gsafd"";""Comics (Graphic works) lcgft"";""Graphic novels. lcgft"";""Romans graphiques. rvmgf""","Pond, Mimi, author, illustrator.",,
